source,target
0,1
1,399
1,400
1,401
1,402
1,403
1,404
1,405
1,406
1,407
1,408
1,409
1,410
1,411
1,412
1,413
1,414
1,415
1,416
1,417
1,418
1,419
1,420
1,421
1,422
1,423
1,424
1,425
1,426
1,427
1,428
1,429
1,430
1,431
1,432
1,433
1,434
1,435
1,436
1,437
1,438
1,439
1,440
1,441
1,442
1,443
1,444
1,445
1,446
1,447
1,448
1,449
1,450
1,451
1,452
1,453
1,454
1,455
1,456
1,457
1,458
1,459
1,460
1,461
1,462
1,463
1,464
1,465
1,466
1,467
1,468
1,469
1,470
1,471
1,472
1,473
1,474
1,475
1,476
1,477
1,478
1,479
1,480
1,481
1,482
1,483
1,484
1,485
1,486
1,487
1,488
1,489
1,490
1,491
1,492
1,493
1,494
1,495
1,496
1,497
1,498
1,499
1,500
1,501
1,502
1,503
1,504
1,505
1,506
1,507
1,508
1,509
1,510
1,511
2,1
2,1016
2,753
3,1
3,850
3,89
4,1
5,1
6,1
7,1
7,1907
8,1
8,715
8,731
8,1162
8,349
8,542
8,675
8,864
8,2644
8,1214
8,735
8,174
8,2645
8,451
8,2646
8,689
8,2298
8,1134
8,987
8,684
8,799
8,2647
8,709
8,3
8,1527
8,2648
8,244
8,1659
8,1251
8,1267
8,2649
8,1239
8,2001
9,1
10,1
10,2898
11,1
11,1162
11,7
11,2618
11,2619
12,1
13,1
13,1162
14,1
14,634
14,1562
15,1
15,816
15,735
15,3246
16,1
17,1
18,1
19,1
20,1
20,564
20,541
20,55
20,1791
20,1512
20,1296
20,574
20,264
20,261
20,1133
20,701
20,1025
20,2603
20,1380
21,1
21,2156
21,701
21,11
21,886
21,2157
21,1162
21,521
21,968
21,637
21,524
21,1442
21,2158
22,1
22,20
22,1012
23,1
24,1
25,1
25,22
26,1
27,1
27,21
28,1
29,1
30,1
30,21
30,675
30,943
30,617
30,1925
30,373
30,586
30,1162
30,625
30,579
30,522
30,540
30,1238
30,588
31,1
32,1
33,1
33,11
34,1
35,1
35,45
36,1
37,1
37,43
37,1907
37,7
37,27
37,14
37,1908
38,1
38,37
38,45
38,1907
38,7
38,2381
38,958
38,14
38,2382
38,1259
39,1
39,2740
39,2741
39,609
39,18
40,1
40,22
40,793
41,1
41,1876
42,1
42,547
42,768
42,1239
43,1
43,135
43,616
43,542
43,30
43,366
43,20
43,82
43,1162
43,1549
43,22
43,1550
43,548
43,1107
43,1551
43,1552
43,8
43,544
43,1553
43,626
43,910
43,1554
43,1555
43,1437
43,1556
43,1557
43,878
43,757
43,1228
43,1558
43,1559
43,704
43,540
43,1442
43,1560
43,588
43,1561
43,1562
43,1563
44,1
44,30
45,1
45,681
45,1793
45,2139
45,1709
45,2140
45,1189
45,1133
45,1806
45,1032
45,1659
46,1
46,711
46,43
46,682
46,45
46,1745
46,1746
46,1747
46,1748
46,20
46,1749
46,1750
46,1751
46,1752
46,1753
46,1754
46,1755
46,1756
46,1757
46,1758
46,1759
46,1760
46,1761
46,1762
46,1763
46,1764
46,1765
46,1766
46,1767
46,1768
46,1769
46,1770
46,262
46,1771
46,1772
46,1773
46,1428
46,8
46,30
46,21
46,1774
46,1775
46,1776
46,1777
46,1778
46,1779
46,1780
46,1781
46,1782
46,1783
46,1784
46,1785
46,1786
46,1787
46,1788
46,1789
46,767
46,1790
46,1791
46,1792
46,1793
46,1794
46,1795
46,1427
46,673
46,532
46,1796
46,1797
46,1798
46,1799
46,1800
46,1801
46,1032
46,1802
46,1803
46,1804
46,1805
46,529
46,1316
46,1806
46,701
46,1807
46,1133
46,677
46,1659
46,133
46,1808
46,1809
46,588
46,698
46,541
46,674
46,1189
46,50
46,1388
46,1387
47,1
48,1
48,135
48,30
48,21
48,579
48,1818
48,50
48,1428
48,675
48,989
49,1
49,21
49,30
49,673
49,674
49,675
49,676
49,677
49,678
49,679
49,46
49,680
49,681
49,682
49,683
49,684
49,685
49,686
49,20
49,687
49,688
49,689
49,8
49,690
49,691
49,37
49,692
49,11
49,13
49,693
49,45
49,694
49,695
49,696
49,697
49,698
49,699
49,43
49,700
49,701
49,702
49,703
49,704
50,1
50,49
50,690
50,21
50,914
50,1844
50,656
50,1325
50,601
50,692
50,1359
50,1659
50,133
51,1
51,49
51,557
51,544
51,1394
51,695
51,2246
51,2065
51,48
52,1
53,1
53,49
53,701
53,1501
53,536
53,21
53,617
53,1502
53,1162
53,13
53,51
53,43
53,39
53,635
53,592
53,1503
53,1504
53,11
53,38
53,50
53,757
53,1505
53,305
53,1506
53,359
53,588
53,46
54,1
55,1
55,49
55,46
55,45
55,1162
55,538
55,534
55,75
55,1512
55,1698
55,1709
55,531
55,140
55,2769
55,2550
55,672
55,2770
55,759
55,1733
55,701
55,1877
56,1
57,1
58,1
58,8
59,1
60,1
60,564
60,22
61,1
62,1
62,884
63,1
63,58
64,1
65,1
66,1
67,1
67,21
67,133
68,1
68,49
68,529
68,24
68,113
68,3220
68,753
68,884
68,1239
69,1
69,46
70,1
70,49
70,53
70,43
70,681
70,46
70,30
70,50
70,556
70,1818
70,1002
70,197
70,768
70,574
70,1870
71,1
72,1
72,49
72,149
72,70
72,37
72,30
72,21
72,1805
72,48
72,2174
72,281
72,14
72,2175
72,2176
72,586
72,2177
72,556
72,2178
72,2179
72,8
72,290
72,2180
72,590
72,521
72,626
72,124
72,1699
72,2125
72,38
72,1959
72,2181
73,1
74,1
74,49
74,692
74,3067
74,2566
75,1
76,1
77,1
78,1
79,1
79,49
79,690
79,564
79,53
79,43
79,682
79,46
79,563
79,715
79,284
79,276
79,541
79,610
79,51
79,542
79,1034
79,687
79,39
79,1512
79,545
79,20
79,784
79,25
79,10
79,2396
79,617
79,1043
79,1018
79,585
79,1248
79,584
79,1069
79,80
79,625
79,769
79,8
79,1016
79,1542
79,1026
79,728
79,2397
79,570
79,238
79,838
79,409
79,15
79,2157
79,2398
79,1107
79,50
79,2399
79,1080
79,529
79,1086
79,1087
79,1085
79,1084
79,1239
79,884
79,701
80,1
80,49
80,43
80,46
80,276
80,20
80,8
80,55
80,2654
80,1712
80,687
80,2437
80,15
80,583
80,2655
80,604
80,757
81,1
81,39
82,1
82,46
82,1806
82,1387
82,2918
82,839
82,133
82,884
83,1
83,49
83,53
83,33
84,1
84,79
84,22
85,1
86,1
87,1
87,79
88,1
89,1
89,58
90,1
91,1
92,1
92,1805
92,1328
93,1
94,1
94,53
94,37
94,20
94,13
94,701
95,1
96,1
96,49
96,37
96,72
96,11
96,2133
96,14
96,2129
97,1
97,37
97,72
97,87
98,1
98,82
99,1
99,53
100,1
101,1
101,22
102,1
102,45
102,89
103,1
104,1
104,1939
104,11
