Size = 0, freq = 0, total vertices = 0
Size = 1, freq = 561, total vertices = 561
Size = 2, freq = 0, total vertices = 0
Size = 3, freq = 9, total vertices = 27
Size = 4, freq = 6, total vertices = 24
Size = 5, freq = 7, total vertices = 35
Size = 6, freq = 2, total vertices = 12
Size = 7, freq = 2, total vertices = 14
Size = 8, freq = 1, total vertices = 8
Size = 9, freq = 2, total vertices = 18
Size = 10, freq = 0, total vertices = 0
Size = 11, freq = 2, total vertices = 22
Size = 12, freq = 0, total vertices = 0
Size = 13, freq = 1, total vertices = 13
Size = 14, freq = 1, total vertices = 14
Size = 15, freq = 1, total vertices = 15
Size = 16, freq = 1, total vertices = 16
Size = 17, freq = 1, total vertices = 17
Size = 18, freq = 1, total vertices = 18
Size = 19, freq = 0, total vertices = 0
Size = 20, freq = 1, total vertices = 20
Size = 21, freq = 0, total vertices = 0
Size = 22, freq = 0, total vertices = 0
Size = 23, freq = 0, total vertices = 0
Size = 24, freq = 1, total vertices = 24
Size = 25, freq = 0, total vertices = 0
Size = 26, freq = 0, total vertices = 0
Size = 27, freq = 0, total vertices = 0
Size = 28, freq = 0, total vertices = 0
Size = 29, freq = 0, total vertices = 0
Size = 30, freq = 0, total vertices = 0
Size = 31, freq = 0, total vertices = 0
Size = 32, freq = 0, total vertices = 0
Size = 33, freq = 0, total vertices = 0
Size = 34, freq = 0, total vertices = 0
Size = 35, freq = 0, total vertices = 0
Size = 36, freq = 0, total vertices = 0
Size = 37, freq = 0, total vertices = 0
Size = 38, freq = 0, total vertices = 0
Size = 39, freq = 0, total vertices = 0
Size = 40, freq = 0, total vertices = 0
Size = 41, freq = 0, total vertices = 0
Size = 42, freq = 0, total vertices = 0
Size = 43, freq = 0, total vertices = 0
Size = 44, freq = 0, total vertices = 0
Size = 45, freq = 0, total vertices = 0
Size = 46, freq = 0, total vertices = 0
Size = 47, freq = 0, total vertices = 0
Size = 48, freq = 1, total vertices = 48
