Size = 0, freq = 0, total vertices = 0
Size = 1, freq = 0, total vertices = 0
Size = 2, freq = 19, total vertices = 38
Size = 3, freq = 2, total vertices = 6
Size = 4, freq = 2, total vertices = 8
Size = 5, freq = 1, total vertices = 5
Size = 6, freq = 0, total vertices = 0
Size = 7, freq = 0, total vertices = 0
Size = 8, freq = 0, total vertices = 0
Size = 9, freq = 0, total vertices = 0
Size = 10, freq = 0, total vertices = 0
Size = 11, freq = 0, total vertices = 0
Size = 12, freq = 0, total vertices = 0
Size = 13, freq = 0, total vertices = 0
Size = 14, freq = 0, total vertices = 0
Size = 15, freq = 0, total vertices = 0
Size = 16, freq = 0, total vertices = 0
Size = 17, freq = 0, total vertices = 0
Size = 18, freq = 0, total vertices = 0
Size = 19, freq = 0, total vertices = 0
Size = 20, freq = 0, total vertices = 0
Size = 21, freq = 0, total vertices = 0
Size = 22, freq = 0, total vertices = 0
Size = 23, freq = 0, total vertices = 0
Size = 24, freq = 0, total vertices = 0
Size = 25, freq = 0, total vertices = 0
Size = 26, freq = 0, total vertices = 0
Size = 27, freq = 0, total vertices = 0
Size = 28, freq = 0, total vertices = 0
Size = 29, freq = 0, total vertices = 0
Size = 30, freq = 0, total vertices = 0
Size = 31, freq = 0, total vertices = 0
Size = 32, freq = 0, total vertices = 0
Size = 33, freq = 0, total vertices = 0
Size = 34, freq = 0, total vertices = 0
Size = 35, freq = 0, total vertices = 0
Size = 36, freq = 0, total vertices = 0
Size = 37, freq = 0, total vertices = 0
Size = 38, freq = 0, total vertices = 0
Size = 39, freq = 0, total vertices = 0
Size = 40, freq = 0, total vertices = 0
Size = 41, freq = 0, total vertices = 0
Size = 42, freq = 0, total vertices = 0
Size = 43, freq = 0, total vertices = 0
Size = 44, freq = 0, total vertices = 0
Size = 45, freq = 0, total vertices = 0
Size = 46, freq = 0, total vertices = 0
Size = 47, freq = 0, total vertices = 0
Size = 48, freq = 0, total vertices = 0
Size = 49, freq = 0, total vertices = 0
Size = 50, freq = 0, total vertices = 0
Size = 51, freq = 0, total vertices = 0
Size = 52, freq = 0, total vertices = 0
Size = 53, freq = 0, total vertices = 0
Size = 54, freq = 0, total vertices = 0
Size = 55, freq = 0, total vertices = 0
Size = 56, freq = 0, total vertices = 0
Size = 57, freq = 0, total vertices = 0
Size = 58, freq = 0, total vertices = 0
Size = 59, freq = 0, total vertices = 0
Size = 60, freq = 0, total vertices = 0
Size = 61, freq = 0, total vertices = 0
Size = 62, freq = 0, total vertices = 0
Size = 63, freq = 0, total vertices = 0
Size = 64, freq = 0, total vertices = 0
Size = 65, freq = 0, total vertices = 0
Size = 66, freq = 0, total vertices = 0
Size = 67, freq = 0, total vertices = 0
Size = 68, freq = 0, total vertices = 0
Size = 69, freq = 0, total vertices = 0
Size = 70, freq = 0, total vertices = 0
Size = 71, freq = 0, total vertices = 0
Size = 72, freq = 0, total vertices = 0
Size = 73, freq = 0, total vertices = 0
Size = 74, freq = 0, total vertices = 0
Size = 75, freq = 0, total vertices = 0
Size = 76, freq = 0, total vertices = 0
Size = 77, freq = 0, total vertices = 0
Size = 78, freq = 0, total vertices = 0
Size = 79, freq = 0, total vertices = 0
