node_id,value
0,1.83333
391,1.83333
1945,1.83333
1698,1.83333
2,0
411,40.3212
1873,40.3212
10,1
868,40.3212
1439,40.3212
826,40.3212
11,40.3212
1962,40.3212
1585,40.3212
456,40.3212
1668,40.3212
1791,40.3212
1257,40.3212
510,40.3212
1628,40.3212
573,40.3212
2005,40.3212
119,40.3212
1618,40.3212
277,40.3212
1429,40.3212
689,40.3212
418,40.3212
979,40.3212
557,40.3212
555,40.3212
1401,40.3212
1838,40.3212
1190,40.3212
242,0
265,40.3212
1669,40.3212
1717,40.3212
118,40.3212
1080,40.3212
63,40.3212
1844,40.3212
1875,1.70588
1010,40.3212
1277,40.3212
1072,40.3212
1213,40.3212
1286,40.3212
315,0.916667
1485,40.3212
1662,40.3212
1099,0
1832,40.3212
1586,40.3212
13,40.3212
998,40.3212
1986,40.3212
328,40.3212
851,40.3212
271,40.3212
1500,40.3212
216,40.3212
584,40.3212
24,40.3212
1521,40.3212
1893,40.3212
1466,40.3212
816,40.3212
23,40.3212
409,40.3212
1742,40.3212
1433,40.3212
1178,40.3212
202,40.3212
1322,40.3212
452,40.3212
1018,40.3212
889,40.3212
305,40.3212
1575,40.3212
640,40.3212
46,40.3212
1240,40.3212
793,40.3212
164,40.3212
1975,40.3212
1368,40.3212
1767,40.3212
1268,40.3212
1660,0
1790,40.3212
1935,40.3212
343,40.3212
1083,40.3212
167,40.3212
1330,40.3212
604,40.3212
535,1.4
1672,0
872,40.3212
598,40.3212
1505,0
902,40.3212
736,40.3212
954,40.3212
107,40.3212
840,40.3212
1941,40.3212
1549,4.80952
195,40.3212
1408,40.3212
938,40.3212
44,40.3212
1531,40.3212
1290,40.3212
1294,40.3212
1452,40.3212
217,40.3212
1961,40.3212
520,40.3212
1577,40.3212
1128,40.3212
722,40.3212
1994,40.3212
402,40.3212
410,40.3212
716,40.3212
91,40.3212
1238,40.3212
1853,40.3212
1877,40.3212
1997,40.3212
649,40.3212
1431,40.3212
963,40.3212
1781,40.3212
338,40.3212
1063,40.3212
1596,40.3212
1607,40.3212
279,40.3212
1193,40.3212
960,40.3212
1379,40.3212
135,40.3212
73,40.3212
1579,40.3212
14,3.68182
1207,1.14286
349,3.68182
731,1.4
20,0
1973,40.3212
1898,1.4
22,0
1769,0.916667
25,0
29,0
629,1.70588
30,0
1143,40.3212
33,1.4
34,3.68182
92,3.68182
322,3.68182
1705,3.68182
36,2
1620,2
37,0.5
992,0.5
38,0
382,40.3212
41,0
43,13.8571
387,13.8571
890,13.8571
1974,13.8571
347,13.8571
1041,13.8571
1597,13.8571
1914,13.8571
1964,13.8571
1749,13.8571
1527,13.8571
363,13.8571
1136,13.8571
1548,0.666667
667,40.3212
1109,0
50,1.5
1892,1.5
750,1.5
2002,1.5
53,9.5
1372,9.5
732,9.5
1985,9.5
2003,9.5
561,9.5
55,3.5
690,2.5
701,1.70588
56,0
59,0
154,40.3212
1079,40.3212
1918,40.3212
332,40.3212
65,1.5
221,1.5
848,1.5
70,0.5
1711,0.5
74,1.4
176,1.4
75,2.5
247,2.5
79,4.80952
1158,4.80952
1376,4.80952
1305,4.80952
429,4.80952
990,4.80952
245,4.80952
1057,4.80952
1392,4.80952
1423,4.80952
83,3.68182
1996,0
1766,40.3212
361,3.68182
534,3.68182
89,0.916667
478,40.3212
712,40.3212
866,40.3212
90,13.8571
1689,13.8571
150,0.5
95,3.5
737,3.5
183,3.5
238,3.5
652,3.5
1902,3.5
964,40.3212
96,0
1276,40.3212
103,40.3212
449,40.3212
462,0.75
863,0.75
1753,0.8
1546,0.5
1279,0.8
619,1.4
898,0.5
104,2.14286
1051,2.14286
108,1.4
1815,40.3212
682,1.4
110,9.5
1951,9.5
1972,9.5
1792,9.5
188,9.5
1871,9.5
668,9.5
377,9.5
513,9.5
1325,9.5
116,1
1134,40.3212
915,40.3212
1381,1
795,40.3212
627,40.3212
1673,40.3212
422,40.3212
120,0.5
2026,2.5
666,0.5
121,1
1922,1
124,1
1580,1
694,1
131,0.5
1993,0.5
894,1.70588
139,1.70588
448,1.70588
141,3
891,3
278,3
1905,4.80952
292,3
145,2.5
1784,2.5
1035,0.5
147,0.5
148,0
828,3.68182
149,0.5
306,0.5
152,1.4
823,1.4
1739,1.4
153,9.5
401,9.5
1087,9.5
982,2.5
551,0
157,0.666667
832,0.666667
2000,40.3212
165,3.68182
1562,3.68182
917,3.68182
538,3.68182
173,0
181,0.5
755,0.5
185,0
186,0
187,0
190,13.8571
1802,13.8571
487,13.8571
194,0.5
196,0.666667
1891,0.666667
1676,0.666667
1829,2.14286
1425,0.916667
1409,2.14286
703,2.14286
1726,3.68182
1949,2.14286
344,0.666667
602,3.68182
831,3.68182
944,0.666667
1323,0
686,0
203,0.666667
204,0.5
206,0
209,3.68182
211,0
1424,0.75
1197,1.4
1857,0
220,0.5
226,0
228,0
232,0.5
833,0.5
241,0
1750,40.3212
903,40.3212
244,4.80952
1157,2
997,4.80952
727,4.80952
824,0
246,0
729,1.70588
1388,2.5
252,2.5
1186,2.5
465,2.5
256,0
464,40.3212
260,2.5
264,0
1522,40.3212
486,0.666667
281,0.5
1124,0.5
289,0
290,0
291,0
294,0.666667
296,1.28571
983,1.28571
1696,1.28571
301,0
311,0.5
1683,0.5
312,0
318,3.5
325,0.5
1055,0.5
326,0.5
908,0.5
439,0.5
442,2.5
865,2.5
342,0
1243,0.5
794,0.8
1538,0
525,1
351,0
357,2
571,2
782,13.8571
508,13.8571
515,13.8571
1992,13.8571
371,0.5
374,1.14286
1060,1.14286
384,0.916667
665,0.916667
385,4.80952
386,1
1498,1
962,1.83333
399,0
403,13.8571
1154,13.8571
733,13.8571
1102,13.8571
1666,13.8571
1404,13.8571
957,13.8571
2024,13.8571
1444,13.8571
1029,13.8571
1806,0
2010,0.75
1910,0
413,0
419,0
424,0.5
1038,0.5
428,0.8
1252,0.8
1980,4.80952
433,40.3212
1226,0.5
1855,0.5
435,1.14286
441,0
1123,1.70588
766,1.70588
1648,0
1812,1.70588
1880,0.666667
1191,0.916667
2011,2.14286
1955,0
368,0
358,0
1954,0.916667
423,0.75
1716,0
1022,0
177,0
454,0
1398,0
458,1.14286
461,1.14286
1800,1.14286
1119,40.3212
1364,0
1371,0
469,0.5
97,0.5
475,1.70588
854,1.70588
479,2
807,2
491,3.68182
852,3.68182
507,0
1959,0
862,0
1275,0
512,0.666667
517,0
523,0.5
1932,0.5
546,2
1194,4.80952
568,0.75
575,1
1535,1
578,0
579,0
580,0
583,3.68182
210,0
1638,0
585,0.5
1643,0.5
586,0.5
588,1.70588
60,1.70588
593,0
1302,0
1130,0
614,0
615,0
616,0
625,0.5
626,0
552,0
630,0.5
1511,0.5
632,0.5
1148,0.5
635,0.5
327,0.5
657,0.5
1414,0.5
658,0
664,2
670,0.5
830,0.5
685,0
696,0.5
518,0.5
697,0
710,0
717,0.5
724,0
730,0
734,0.666667
749,0
756,0
757,0
767,0
769,0
770,0
805,0
389,1.28571
798,0
803,0.5
417,0.5
815,0
818,3
1779,3
819,0
827,0
844,0
1133,3.68182
859,0
577,0
873,2
1023,2
880,0
881,4.80952
1593,4.80952
883,0
1600,1.70588
895,0
896,2
1069,2
897,0.5
300,0.5
904,2.5
1649,2.5
1690,2.5
1555,2.5
905,0
923,1.5
927,0
929,0.5
1389,0.5
930,0
932,0
937,0.5
1879,0.5
942,0.75
965,0
977,40.3212
987,9.5
989,0.5
1434,0.5
991,0
1001,0
1004,1
1034,1
1013,0
1017,0
1033,0.666667
501,0.666667
1061,0
1066,0
1068,13.8571
1070,0
1082,0
1088,1
1090,0.5
1112,2
1837,2
1113,0
1131,0
655,0
1843,1.4
1651,0.916667
1150,0.75
2022,0
1822,0
1185,0
1188,0
1192,0
1202,0
1211,0.5
1217,0
1223,0
1227,0
1230,0
1231,0
1233,0.5
1254,0
365,0
1807,0
54,0
1095,0
1747,1
1977,0
1854,0
1610,0
1287,0
1304,0
1693,0.5
1308,0
1328,0
1331,0
1348,0
1357,0.5
797,0.5
1360,0
1362,0
1365,0
1772,0
1700,0.5
1382,0
1386,0
1406,0
1412,0.5
1071,0.5
1418,0
1420,0.916667
1730,0.916667
1564,0
1353,0
1987,0
1443,4.80952
1456,0
1472,0.5
591,0.5
1478,3
1479,1
1851,1
1502,1
1487,0
1491,0.5
1684,0.5
1492,0.666667
1494,0
1499,1.70588
1504,0.666667
1507,13.8571
1508,0
1509,40.3212
1519,0.5
1917,0.5
1523,0
1524,0.5
1237,0.5
1525,0
1532,0
1537,0.5
541,0.5
1540,0
1912,0
1550,0
1553,0
1569,0
1609,0
1624,0
440,0
1761,0
1633,0
1637,1.4
1644,0
1645,0
1273,0
1968,0
1259,0
1430,0
1447,0
1825,0
1397,0
1234,0
1848,0
1224,0
867,0
643,0
1642,0
1003,0
198,0
611,0
1474,0
1720,0
1175,0
1159,0
673,0
1529,0
1950,0
324,0
316,0
2014,0
485,0
984,0
2021,0
661,0
1782,0
1495,0
6,0
751,0
790,0
1733,0
51,0
1288,0
313,0
1390,0
596,0
379,0
1916,0
412,0
1897,0
721,0
447,0
524,0
1805,0
8,0
320,0
1506,0
748,0
1374,0
26,0
633,0
1170,0
140,0
1823,0
48,0
1292,0
1125,0
1437,0
651,0
1263,0
536,0
415,0
1858,0
2016,0
2028,0
253,0
1436,0
812,0
1369,0
1831,0
1817,0
610,0
476,0
741,0
1821,0
293,0
1533,0
1030,0
1074,0
1563,0
1295,0
1284,0
310,0
1315,0
1337,0
1355,0
88,0
45,0
1942,0
1605,0
1849,0
1835,0
383,0
1904,0
599,0
1567,0
1834,0
503,0
1764,0
1454,0
367,0
622,0
1027,0
529,0
1729,0
1497,0
263,0
885,0
15,0
170,0
1592,0
1695,0
1984,0
1278,0
949,0
122,0
966,0
1246,0
1632,0
1171,0
1803,0
254,0
1678,0
1679,0.666667
1687,0
1688,0.666667
1745,0
1741,0
282,0
1712,0
1714,0
1715,0
1718,0
1725,0
1731,0
1755,0
1762,1
1765,0
1046,0
1911,0
1768,0
21,0.916667
1787,0.5
601,0.5
1793,0
1804,0.5
3,0.5
1810,0.666667
1814,0.5
337,0.5
1816,0
1828,0
1830,0
1833,0
1939,0
1856,1
653,0
972,0
1019,0
1199,0
1319,0
1661,0
1335,0
27,0
1179,0
381,0
613,0
1008,0
1614,0
700,0
1438,0
218,0
1556,0
2007,0
564,0
691,0
336,0
558,0
1471,0
1486,0
1014,0
671,0
450,0
723,0
1777,0
638,0
1152,0
1228,0
663,0
1282,0
1285,0
1089,0
1737,0
528,0
1886,1.28571
779,1.28571
1906,1.28571
1900,13.8571
1913,0
1923,0.5
224,0.5
1924,0
1926,40.3212
1929,0.5
