node_id,cluster_id
0,0
391,0
1945,0
1698,0
2,0
411,2
1873,0
10,2
868,2
1439,4
826,4
11,2
1962,2
1585,2
456,2
1668,1
1791,2
1257,0
510,4
1628,2
573,2
2005,2
119,2
1618,2
277,2
1429,2
689,2
418,2
979,2
557,2
555,2
1401,2
1838,2
1190,2
242,2
265,2
1669,2
1717,2
118,2
1080,2
63,2
1844,4
1875,2
1010,2
1277,4
1072,2
1213,2
1286,2
315,2
1485,2
1662,2
1099,2
1832,2
1586,4
13,4
998,2
1986,2
328,2
851,4
271,4
1500,4
216,4
584,4
24,4
1521,4
1893,4
1466,4
816,2
23,2
409,2
1742,2
1433,2
1178,2
202,0
1322,2
452,5
1018,2
889,2
305,2
1575,2
640,2
46,2
1240,2
793,2
164,2
1975,2
1368,2
1767,0
1268,4
1660,0
1790,4
1935,4
343,4
1083,4
167,4
1330,4
604,4
535,4
1672,4
872,4
598,4
1505,0
902,4
736,4
954,4
107,4
840,4
1941,4
1549,3
195,4
1408,4
938,4
44,4
1531,4
1290,4
1294,4
1452,4
217,4
1961,2
520,4
1577,4
1128,4
722,4
1994,4
402,4
410,4
716,4
91,4
1238,4
1853,4
1877,2
1997,4
649,4
1431,4
963,4
1781,4
338,4
1063,4
1596,4
1607,4
279,4
1193,4
960,4
1379,4
135,4
73,4
1579,4
14,0
1207,0
349,0
731,0
20,4
1973,4
1898,4
22,0
1769,2
25,1
29,2
629,2
30,4
1143,4
33,4
34,0
92,0
322,0
1705,0
36,8
1620,8
37,1
992,3
38,2
382,2
41,0
43,5
387,5
890,5
1974,5
347,5
1041,5
1597,5
1914,5
1964,5
1749,5
1527,5
363,5
1136,5
1548,0
667,2
1109,0
50,10
1892,10
750,10
2002,10
53,3
1372,3
732,3
1985,3
2003,3
561,3
55,6
690,3
701,3
56,1
59,2
154,2
1079,2
1918,2
332,2
65,3
221,3
848,3
70,0
1711,0
74,0
176,2
75,3
247,3
79,3
1158,3
1376,3
1305,3
429,3
990,3
245,3
1057,3
1392,3
1423,3
83,0
1996,0
1766,2
361,0
534,0
89,2
478,2
712,2
866,2
90,5
1689,5
150,2
95,6
737,6
183,6
238,6
652,6
1902,6
964,2
96,5
1276,2
103,2
449,2
462,2
863,2
1753,0
1546,2
1279,0
619,0
898,2
104,2
1051,2
108,2
1815,2
682,0
110,3
1951,3
1972,3
1792,3
188,3
1871,3
668,3
377,3
513,3
1325,3
116,2
1134,2
915,2
1381,2
795,2
627,2
1673,2
422,2
120,2
2026,2
666,2
121,11
1922,11
124,12
1580,12
694,12
131,3
1993,3
894,3
139,3
448,3
141,3
891,3
278,3
1905,3
292,3
145,1
1784,1
1035,1
147,0
148,0
828,0
149,20
306,20
152,0
823,0
1739,0
153,3
401,3
1087,3
982,2
551,1
157,0
832,0
2000,2
165,0
1562,0
917,0
538,2
173,2
181,4
755,4
185,0
186,0
187,0
190,5
1802,5
487,5
194,5
196,0
1891,0
1676,0
1829,2
1425,2
1409,2
703,2
1726,0
1949,2
344,0
602,0
831,0
944,0
1323,0
686,0
203,0
204,5
206,1
209,2
211,1
1424,4
1197,4
1857,4
220,0
226,0
228,0
232,15
833,15
241,1
1750,2
903,2
244,3
1157,3
997,3
727,3
824,3
246,1
729,3
1388,3
252,3
1186,3
465,3
256,2
464,2
260,2
264,4
1522,2
486,3
281,2
1124,2
289,0
290,2
291,5
294,0
296,7
983,7
1696,7
301,0
311,0
1683,0
312,1
318,6
325,21
1055,21
326,22
908,22
439,0
442,2
865,2
342,0
1243,0
794,0
1538,0
525,0
351,1
357,3
571,3
782,5
508,5
515,5
1992,5
371,0
374,0
1060,0
384,2
665,2
385,3
386,0
1498,0
962,0
399,0
403,5
1154,5
733,5
1102,5
1666,5
1404,5
957,5
2024,5
1444,5
1029,5
1806,2
2010,4
1910,2
413,0
419,0
424,5
1038,5
428,0
1252,0
1980,3
433,2
1226,2
1855,2
435,0
441,0
1123,3
766,3
1648,2
1812,3
1880,3
1191,5
2011,2
1955,3
368,5
358,5
1954,5
423,5
1716,5
1022,5
177,5
454,1
1398,0
458,0
461,0
1800,0
1119,2
1364,3
1371,3
469,23
97,23
475,3
854,3
479,3
807,3
491,0
852,0
507,3
1959,4
862,4
1275,4
512,0
517,0
523,0
1932,0
546,3
1194,3
568,5
575,3
1535,3
578,0
579,0
580,1
583,0
210,4
1638,0
585,0
1643,0
586,0
588,3
60,3
593,0
1302,0
1130,0
614,0
615,3
616,0
625,0
626,4
552,4
630,16
1511,16
632,3
1148,3
635,24
327,24
657,0
1414,0
658,1
664,8
670,25
830,25
685,0
696,26
518,26
697,0
710,2
717,2
724,0
730,0
734,0
749,1
756,4
757,1
767,1
769,1
770,0
805,2
389,7
798,5
803,2
417,2
815,4
818,3
1779,3
819,3
827,6
844,1
1133,0
859,0
577,2
873,8
1023,8
880,0
881,3
1593,3
883,3
1600,3
895,0
896,3
1069,3
897,4
300,4
904,1
1649,1
1690,1
1555,1
905,0
923,3
927,5
929,17
1389,17
930,0
932,0
937,3
1879,3
942,4
965,1
977,2
987,3
989,18
1434,18
991,4
1001,1
1004,9
1034,9
1013,0
1017,3
1033,0
501,0
1061,0
1066,0
1068,5
1070,1
1082,1
1088,9
1090,3
1112,3
1837,3
1113,3
1131,1
655,4
1843,4
1651,2
1150,4
2022,3
1822,0
1185,3
1188,1
1192,0
1202,0
1211,1
1217,4
1223,1
1227,1
1230,0
1231,3
1233,3
1254,0
365,0
1807,0
54,0
1095,0
1747,3
1977,2
1854,4
1610,3
1287,3
1304,2
1693,3
1308,4
1328,1
1331,1
1348,3
1357,27
797,27
1360,0
1362,5
1365,2
1772,3
1700,3
1382,0
1386,0
1406,2
1412,28
1071,28
1418,2
1420,5
1730,2
1564,4
1353,4
1987,4
1443,3
1456,4
1472,29
591,29
1478,3
1479,3
1851,3
1502,3
1487,0
1491,0
1684,0
1492,0
1494,2
1499,3
1504,0
1507,5
1508,1
1509,2
1519,3
1917,3
1523,0
1524,14
1237,14
1525,5
1532,0
1537,30
541,30
1540,0
1912,3
1550,2
1553,2
1569,0
1609,4
1624,0
440,2
1761,2
1633,0
1637,0
1644,0
1645,1
1273,5
1968,1
1259,1
1430,1
1447,1
1825,1
1397,1
1234,1
1848,1
1224,1
867,1
643,1
1642,1
1003,1
198,1
611,1
1474,1
1720,1
1175,1
1159,1
673,1
1529,1
1950,1
324,1
316,1
2014,1
485,1
984,1
2021,1
661,1
1782,1
1495,1
6,1
751,1
790,1
1733,1
51,1
1288,1
313,1
1390,1
596,1
379,1
1916,1
412,1
1897,1
721,1
447,1
524,1
1805,1
8,1
320,1
1506,1
748,1
1374,1
26,1
633,1
1170,1
140,1
1823,1
48,1
1292,1
1125,1
1437,1
651,1
1263,1
536,1
415,1
1858,1
2016,1
2028,1
253,1
1436,1
812,1
1369,1
1831,1
1817,1
610,1
476,1
741,1
1821,1
293,1
1533,1
1030,1
1074,1
1563,1
1295,1
1284,1
310,1
1315,1
1337,1
1355,1
88,1
45,1
1942,1
1605,1
1849,1
1835,1
383,1
1904,1
599,1
1567,1
1834,1
503,1
1764,1
1454,1
367,1
622,1
1027,1
529,1
1729,1
1497,1
263,1
885,1
15,1
170,1
1592,1
1695,1
1984,1
1278,1
949,1
122,1
966,1
1246,1
1632,1
1171,1
1803,1
254,1
1678,2
1679,0
1687,2
1688,0
1745,0
1741,0
282,0
1712,1
1714,0
1715,0
1718,1
1725,1
1731,1
1755,0
1762,9
1765,1
1046,0
1911,0
1768,3
21,2
1787,13
601,13
1793,0
1804,31
3,31
1810,3
1814,19
337,19
1816,1
1828,0
1830,3
1833,3
1939,2
1856,11
653,0
972,0
1019,0
1199,0
1319,0
1661,0
1335,0
27,0
1179,0
381,0
613,0
1008,0
1614,0
700,0
1438,0
218,0
1556,0
2007,0
564,0
691,0
336,0
558,0
1471,0
1486,0
1014,0
671,0
450,0
723,0
1777,0
638,0
1152,0
1228,0
663,0
1282,0
1285,0
1089,0
1737,2
528,2
1886,7
779,7
1906,7
1900,5
1913,2
1923,32
224,32
1924,0
1926,4
1929,0
1938,0
1989,0
1991,4
2015,3
