node_id,cluster_id
0,10
391,10
962,10
1698,10
1938,10
1945,10
1873,0
3,35
1804,35
6,1
1668,1
10,0
116,0
456,0
573,0
866,0
868,0
889,0
915,0
964,0
1134,0
1213,0
1322,0
1381,0
2005,0
11,0
63,0
118,0
119,0
154,0
164,0
242,0
265,0
277,0
315,0
418,0
433,0
464,0
478,0
555,0
557,0
640,0
689,0
903,0
979,0
998,0
1010,0
1018,0
1072,0
1080,0
1099,0
1119,0
1190,0
1240,0
1286,0
1368,0
1401,0
1429,0
1485,0
1509,0
1575,0
1585,0
1618,0
1628,0
1662,0
1669,0
1717,0
1750,0
1766,0
1791,0
1832,0
1838,0
1875,0
1877,0
1962,0
1986,0
2000,0
13,0
24,0
44,0
73,0
91,0
107,0
135,0
167,0
195,0
216,0
217,0
271,0
279,0
338,0
343,0
402,0
410,0
510,0
520,0
535,0
584,0
598,0
604,0
649,0
716,0
722,0
736,0
826,0
840,0
851,0
872,0
902,0
938,0
954,0
960,0
963,0
1063,0
1083,0
1128,0
1193,0
1238,0
1257,0
1268,0
1277,0
1290,0
1294,0
1330,0
1379,0
1408,0
1431,0
1439,0
1452,0
1466,0
1500,0
1521,0
1531,0
1577,0
1579,0
1586,0
1596,0
1607,0
1672,0
1781,0
1790,0
1844,0
1853,0
1893,0
1926,0
1935,0
1941,0
1973,0
1994,0
1997,0
14,3
202,0
349,3
374,3
458,3
491,3
731,3
1207,3
1562,3
1705,3
1911,3
20,0
1143,0
1898,0
1769,0
23,0
46,0
256,0
305,0
328,0
384,0
409,0
411,0
452,0
665,0
712,0
793,0
795,0
816,0
1178,0
1433,0
1742,0
1767,0
1815,0
1961,0
1975,0
33,0
1150,0
25,1
26,1
629,0
626,0
1197,0
34,3
92,3
322,3
852,3
1133,3
36,12
664,12
873,12
1023,12
1620,12
37,2
992,2
38,0
382,0
43,4
90,4
190,4
347,4
363,4
387,4
403,4
487,4
508,4
515,4
733,4
782,4
890,4
957,4
1029,4
1041,4
1068,4
1102,4
1136,4
1154,4
1404,4
1444,4
1507,4
1527,4
1597,4
1666,4
1689,4
1749,4
1802,4
1900,4
1914,4
1964,4
1974,4
1992,4
2024,4
667,0
48,1
50,15
750,15
1892,15
2002,15
53,5
110,5
153,5
188,5
377,5
401,5
513,5
561,5
668,5
732,5
987,5
1087,5
1325,5
1372,5
1792,5
1871,5
1951,5
1972,5
1985,5
2003,5
55,8
95,8
183,8
238,8
318,8
652,8
737,8
1902,8
56,1
60,7
588,7
894,7
2015,7
332,0
1079,0
1522,0
1918,0
65,2
221,2
848,2
923,2
1158,2
70,10
1711,10
74,0
176,0
75,6
247,6
465,6
1186,6
1905,6
2026,0
79,2
244,2
245,2
429,2
727,2
990,2
997,2
1057,2
1194,2
1305,2
1376,2
1392,2
1423,2
1443,2
1549,2
1980,2
83,3
361,3
534,3
828,3
1996,3
89,0
209,0
1673,0
1730,0
794,3
827,8
97,42
469,42
103,0
449,0
462,0
863,0
898,0
1546,0
104,0
120,0
422,0
538,0
666,0
703,0
1051,0
1276,0
1409,0
1829,0
108,0
682,0
627,0
121,18
1856,18
1922,18
124,20
694,20
1580,20
131,7
1993,7
139,2
448,2
729,2
1499,2
141,6
278,6
292,6
818,6
891,6
1478,6
1779,6
145,9
904,9
1035,9
1211,9
1555,9
1649,9
1690,9
1784,9
147,0
625,0
148,3
149,26
306,26
150,0
717,0
152,0
439,0
823,0
1637,0
1739,0
977,0
1226,0
1365,0
1553,0
1855,0
157,23
832,23
165,3
583,3
917,3
170,1
181,43
755,43
185,3
194,29
204,29
196,19
1676,19
1891,19
198,1
344,3
602,3
686,3
831,3
944,3
1060,3
1638,0
1726,3
203,3
1679,3
206,1
211,1
942,0
1424,0
1857,0
220,31
371,31
224,38
1923,38
232,30
833,30
241,1
357,2
571,2
896,2
1069,2
1157,2
385,2
824,2
881,2
1287,5
1593,2
1833,2
246,1
252,6
1388,6
260,0
442,0
690,0
982,0
1494,0
263,1
264,0
865,0
281,44
1124,44
282,3
1812,2
294,21
1548,21
296,11
983,11
1696,11
300,45
897,45
310,1
311,46
1683,46
312,1
313,1
316,1
320,1
324,1
325,47
1055,47
326,48
908,48
327,49
635,49
