source,target,weight
0,391,1
0,962,0.666667
0,1698,1
0,1938,1
0,1945,1
2,1873,1
3,1804,1
6,1668,1
8,1668,1
10,116,1
10,456,0.666667
10,573,0.666667
10,866,0.666667
10,868,0.666667
10,889,0.666667
10,915,0.666667
10,964,0.666667
10,1134,0.666667
10,1213,0.666667
10,1322,0.666667
10,1381,1
10,2005,0.666667
11,63,1
11,118,1
11,119,1
11,154,0.75
11,164,0.75
11,242,1
11,265,0.75
11,277,0.75
11,315,0.5
11,418,0.75
11,433,0.75
11,456,0.5
11,464,0.75
11,478,0.75
11,555,0.75
11,557,0.75
11,573,0.75
11,640,1
11,689,0.75
11,903,1
11,979,1
11,998,0.5
11,1010,1
11,1018,0.75
11,1072,0.75
11,1080,1
11,1099,1
11,1119,0.75
11,1134,0.75
11,1190,1
11,1213,0.75
11,1240,0.75
11,1286,1
11,1322,0.75
11,1368,0.75
11,1401,0.75
11,1429,0.75
11,1485,1
11,1509,0.75
11,1575,0.75
11,1585,0.75
11,1618,1
11,1628,1
11,1662,1
11,1668,0.5
11,1669,0.75
11,1717,1
11,1750,0.75
11,1766,1
11,1791,0.75
11,1832,0.75
11,1838,0.75
11,1875,0.5
11,1877,0.75
11,1962,0.5
11,1986,0.75
11,2000,1
11,2005,0.75
13,24,0.75
13,44,1
13,73,1
13,91,1
13,107,1
13,135,1
13,167,1
13,195,1
13,216,0.75
13,217,1
13,271,0.75
13,279,1
13,338,1
13,343,1
13,402,0.75
13,410,1
13,456,0.5
13,510,0.75
13,520,1
13,535,0.5
13,584,0.75
13,598,0.75
13,604,1
13,649,1
13,716,1
13,722,1
13,736,1
13,826,0.75
13,840,1
13,851,0.75
13,872,1
13,902,0.75
13,938,1
13,954,1
13,960,1
13,963,1
13,998,0.5
13,1063,1
13,1083,1
13,1128,1
13,1193,0.75
13,1238,1
13,1257,0.5
13,1268,1
13,1277,1
13,1290,1
13,1294,1
13,1330,1
13,1379,0.75
13,1408,1
13,1431,1
13,1439,0.75
13,1452,1
13,1466,0.75
13,1500,1
13,1521,1
13,1531,1
13,1577,1
13,1579,0.75
13,1586,0.75
13,1596,1
13,1607,1
13,1672,1
13,1781,0.75
13,1790,1
13,1844,0.75
13,1853,0.75
13,1873,0.5
13,1893,1
13,1926,1
13,1935,1
13,1941,1
13,1962,0.5
13,1973,0.75
13,1994,0.75
13,1997,0.75
14,202,0.666667
14,349,0.666667
14,374,0.666667
14,458,0.666667
14,491,1
14,731,0.5
14,1207,0.666667
14,1562,0.666667
14,1705,0.666667
14,1911,1
15,1668,1
20,410,1
20,510,1
20,1143,1
20,1277,1
20,1439,1
20,1898,1
20,1973,1
20,1997,1
21,1769,1
21,1962,0.5
22,1873,1
23,46,0.666667
23,119,1
23,154,0.75
23,164,0.75
23,202,0.5
23,256,1
23,265,0.75
23,305,0.75
23,328,0.75
23,384,0.5
23,409,0.5
23,411,1
23,418,1
23,433,0.75
23,452,0.5
23,456,0.5
23,464,1
23,555,0.75
23,557,0.75
23,573,0.75
23,640,1
23,665,0.5
23,689,0.75
23,712,0.75
23,793,0.75
23,795,0.75
23,816,0.75
23,851,0.5
23,866,0.75
23,868,0.75
23,889,0.75
23,903,0.75
23,915,0.666667
23,964,0.75
23,979,0.75
23,998,0.5
23,1018,0.75
23,1119,0.75
23,1134,0.75
23,1178,0.75
23,1213,0.75
23,1240,0.75
23,1322,0.75
23,1368,0.75
23,1429,0.75
23,1433,0.666667
23,1575,0.75
23,1585,1
23,1668,0.5
23,1669,0.75
23,1742,0.666667
23,1767,0.5
23,1769,0.5
23,1791,1
23,1815,1
23,1832,0.75
23,1838,0.75
23,1961,0.75
23,1962,0.5
23,1975,1
23,1986,1
24,33,0.666667
24,44,0.75
24,73,0.75
24,91,0.75
24,107,0.75
24,135,0.75
24,167,0.75
24,195,0.75
24,216,1
24,217,0.75
24,271,0.75
24,279,0.75
24,338,0.75
24,343,0.75
24,402,1
24,410,0.75
24,456,0.5
24,510,0.75
24,520,0.75
24,584,0.75
24,598,0.75
24,604,0.75
24,649,0.75
24,716,0.75
24,722,0.75
24,736,0.75
24,826,0.75
24,840,0.75
24,851,0.75
24,872,0.75
24,902,1
24,938,0.75
24,954,0.75
24,960,0.75
24,963,0.75
24,998,0.75
24,1063,0.75
24,1083,0.75
24,1128,0.75
24,1143,0.5
24,1150,0.5
24,1193,1
24,1238,0.75
24,1257,0.5
24,1268,0.75
24,1277,0.75
24,1290,0.75
24,1294,0.75
24,1330,0.75
24,1379,1
24,1408,0.75
24,1431,0.75
24,1439,0.75
24,1452,0.75
24,1466,1
24,1500,0.75
24,1521,0.75
24,1531,0.75
24,1577,0.75
24,1579,1
24,1586,0.75
24,1596,0.75
24,1607,0.75
24,1781,1
24,1790,0.75
24,1844,0.75
24,1853,1
24,1873,0.5
24,1893,0.75
24,1898,0.5
24,1926,0.75
24,1935,0.75
24,1941,0.75
24,1962,0.5
24,1973,1
24,1994,1
24,1997,1
25,1668,1
26,1668,1
27,1873,1
29,629,1
30,1143,1
30,1586,1
33,216,0.666667
33,402,0.666667
33,626,1
33,902,0.666667
33,1193,0.666667
33,1197,1
33,1379,0.666667
33,1466,0.666667
33,1579,0.666667
33,1781,0.666667
33,1853,0.666667
33,1898,1
33,1973,0.666667
33,1994,0.666667
33,1997,0.666667
34,92,1
34,322,1
34,349,1
34,852,1
34,1133,1
34,1705,1
36,664,1
36,873,1
36,1023,1
36,1620,1
37,992,0.5
37,1668,0.5
38,305,1
