source,target
0,391
0,962
0,1698
0,1938
0,1945
2,1873
3,1804
6,1668
8,1668
10,116
10,456
10,573
10,866
10,868
10,889
10,915
10,964
10,1134
10,1213
10,1322
10,1381
10,2005
11,63
11,118
11,119
11,154
11,164
11,242
11,265
11,277
11,315
11,418
11,433
11,456
11,464
11,478
11,555
11,557
11,573
11,640
11,689
11,903
11,979
11,998
11,1010
11,1018
11,1072
11,1080
11,1099
11,1119
11,1134
11,1190
11,1213
11,1240
11,1286
11,1322
11,1368
11,1401
11,1429
11,1485
11,1509
11,1575
11,1585
11,1618
11,1628
11,1662
11,1668
11,1669
11,1717
11,1750
11,1766
11,1791
11,1832
11,1838
11,1875
11,1877
11,1962
11,1986
11,2000
11,2005
13,24
13,44
13,73
13,91
13,107
13,135
13,167
13,195
13,216
13,217
13,271
13,279
13,338
13,343
13,402
13,410
13,456
13,510
13,520
13,535
13,584
13,598
13,604
13,649
13,716
13,722
13,736
13,826
13,840
13,851
13,872
13,902
13,938
13,954
13,960
13,963
13,998
13,1063
13,1083
13,1128
13,1193
13,1238
13,1257
13,1268
13,1277
13,1290
13,1294
13,1330
13,1379
13,1408
13,1431
13,1439
13,1452
13,1466
13,1500
13,1521
13,1531
13,1577
13,1579
13,1586
13,1596
13,1607
13,1672
13,1781
13,1790
13,1844
13,1853
13,1873
13,1893
13,1926
13,1935
13,1941
13,1962
13,1973
13,1994
13,1997
14,202
14,349
14,374
14,458
14,491
14,731
14,1207
14,1562
14,1705
14,1911
15,1668
20,410
20,510
20,1143
20,1277
20,1439
20,1898
20,1973
20,1997
21,1769
21,1962
22,1873
23,46
23,119
23,154
23,164
23,202
23,256
23,265
23,305
23,328
23,384
23,409
23,411
23,418
23,433
23,452
23,456
23,464
23,555
23,557
23,573
23,640
23,665
23,689
23,712
23,793
23,795
23,816
23,851
23,866
23,868
23,889
23,903
23,915
23,964
23,979
23,998
23,1018
23,1119
23,1134
23,1178
23,1213
23,1240
23,1322
23,1368
23,1429
23,1433
23,1575
23,1585
23,1668
23,1669
23,1742
23,1767
23,1769
23,1791
23,1815
23,1832
23,1838
23,1961
23,1962
23,1975
23,1986
24,33
24,44
24,73
24,91
24,107
24,135
24,167
24,195
24,216
24,217
24,271
24,279
24,338
24,343
24,402
24,410
24,456
24,510
24,520
24,584
24,598
24,604
24,649
24,716
24,722
24,736
24,826
24,840
24,851
24,872
24,902
24,938
24,954
24,960
24,963
24,998
24,1063
24,1083
24,1128
24,1143
24,1150
24,1193
24,1238
24,1257
24,1268
24,1277
24,1290
24,1294
24,1330
24,1379
24,1408
24,1431
24,1439
24,1452
24,1466
24,1500
24,1521
24,1531
24,1577
24,1579
24,1586
24,1596
24,1607
24,1781
24,1790
24,1844
24,1853
24,1873
24,1893
24,1898
24,1926
24,1935
24,1941
24,1962
24,1973
24,1994
24,1997
25,1668
26,1668
27,1873
29,629
30,1143
30,1586
33,216
33,402
33,626
33,902
33,1193
33,1197
33,1379
33,1466
33,1579
33,1781
33,1853
33,1898
33,1973
33,1994
33,1997
34,92
34,322
34,349
34,852
34,1133
34,1705
36,664
36,873
36,1023
36,1620
37,992
37,1668
38,305
38,382
38,816
38,1010
38,1575
38,1791
38,1838
41,1257
43,90
43,190
43,347
43,363
43,387
43,403
43,487
43,508
43,515
43,733
43,782
43,890
43,957
43,1029
43,1041
43,1068
43,1102
43,1136
43,1154
43,1404
43,1444
43,1507
43,1527
43,1597
43,1666
43,1689
43,1749
43,1802
43,1900
43,1914
43,1964
43,1974
43,1992
43,2024
44,73
44,91
44,107
44,135
44,167
44,195
44,216
44,217
44,271
44,279
44,338
44,343
44,402
44,410
44,456
44,510
44,520
44,584
44,598
44,604
44,649
44,716
44,722
44,736
44,826
44,840
44,851
44,872
44,902
44,938
44,954
44,960
44,963
44,998
44,1063
44,1083
44,1128
44,1143
44,1193
44,1238
44,1257
44,1268
44,1277
44,1290
44,1294
44,1330
44,1379
44,1408
44,1431
44,1439
44,1452
44,1466
44,1500
44,1521
44,1531
44,1577
44,1579
44,1586
44,1596
44,1607
44,1781
44,1790
44,1844
44,1853
44,1873
44,1893
44,1926
44,1935
44,1941
44,1962
44,1973
44,1994
44,1997
45,1668
46,119
46,164
46,265
46,305
46,328
46,409
46,411
46,418
46,456
46,464
46,557
46,640
46,667
46,689
46,793
46,816
46,889
46,979
46,998
46,1018
46,1072
46,1119
46,1178
46,1240
46,1322
46,1368
46,1429
46,1433
46,1575
46,1585
46,1669
46,1742
46,1791
46,1838
46,1962
46,1975
46,1986
48,1668
50,750
50,1892
50,2002
51,1668
53,110
53,153
53,188
53,377
53,401
53,513
53,561
53,668
53,732
53,987
53,1087
53,1325
53,1372
53,1792
53,1871
53,1951
53,1972
53,1985
53,2003
54,1257
54,1873
55,95
55,183
55,238
55,318
55,652
55,737
55,1143
55,1902
56,1668
59,1832
60,588
60,894
60,2015
63,118
63,119
63,154
63,164
63,265
63,315
63,332
63,418
63,456
63,464
63,478
63,555
63,557
63,573
63,640
63,689
63,903
63,979
63,998
63,1010
63,1072
63,1079
63,1080
63,1099
63,1119
63,1190
63,1213
63,1240
63,1286
63,1322
63,1368
63,1429
63,1485
63,1509
63,1522
63,1575
63,1585
63,1628
63,1662
63,1668
63,1669
63,1717
63,1750
63,1791
63,1875
63,1877
63,1918
63,1962
63,1986
63,2000
63,2005
65,221
65,848
65,923
65,1158
70,962
70,1711
70,1873
73,91
73,107
73,135
73,167
73,195
73,216
73,217
73,271
73,279
73,338
73,343
73,402
73,410
73,456
73,510
73,520
73,584
73,598
73,604
73,649
73,716
73,722
73,736
73,826
73,840
73,851
73,872
73,902
73,938
73,954
73,960
73,963
73,998
73,1063
73,1083
73,1128
73,1193
73,1238
73,1257
73,1268
73,1277
73,1290
73,1294
73,1330
73,1379
73,1408
73,1431
73,1439
73,1452
73,1466
73,1500
73,1521
73,1531
73,1577
73,1579
73,1586
73,1596
73,1607
73,1781
73,1790
73,1844
73,1853
73,1873
73,1893
73,1926
73,1935
73,1941
73,1962
73,1973
73,1994
73,1997
74,176
74,1257
74,1898
75,247
75,465
75,1186
75,1905
75,2026
79,244
79,245
79,429
79,727
79,990
79,997
79,1057
79,1158
79,1194
79,1305
79,1376
79,1392
79,1423
79,1443
79,1549
79,1980
83,349
83,361
83,534
83,828
83,1562
83,1705
83,1767
83,1996
88,1668
89,164
89,209
89,265
89,315
89,384
89,555
89,557
89,689
89,1240
89,1429
89,1522
89,1669
89,1673
89,1730
89,1769
89,1838
90,190
90,347
90,363
90,387
90,403
90,487
90,508
90,515
90,733
90,782
90,890
90,957
90,1029
90,1041
90,1068
90,1102
90,1136
90,1154
90,1404
90,1444
90,1507
90,1527
90,1597
90,1666
90,1689
90,1749
90,1802
90,1900
90,1914
90,1964
90,1974
90,1992
90,2024
91,107
91,135
91,167
91,195
91,216
91,217
91,271
91,279
91,338
91,343
91,402
91,410
91,456
91,510
91,520
91,584
91,598
91,604
91,649
91,716
91,722
91,736
91,826
91,840
91,851
91,872
91,902
91,938
91,954
91,960
91,963
91,998
91,1063
91,1083
91,1128
91,1143
91,1193
91,1238
91,1257
91,1268
91,1277
91,1290
91,1294
91,1330
91,1379
91,1408
91,1431
91,1439
91,1452
91,1466
91,1500
91,1521
91,1531
91,1577
91,1579
91,1586
91,1596
91,1607
91,1781
91,1790
91,1844
91,1853
91,1873
91,1893
91,1926
91,1935
91,1941
91,1962
91,1973
91,1994
91,1997
92,322
92,349
92,794
92,852
92,1133
92,1705
95,183
95,238
95,318
95,652
95,737
95,827
95,1143
95,1902
96,452
97,469
103,119
103,154
103,332
103,410
103,418
103,449
103,456
103,462
103,464
103,478
103,555
103,557
103,573
103,584
103,689
103,826
103,851
103,863
103,866
103,898
103,903
103,998
103,1010
103,1072
103,1079
103,1119
103,1240
103,1257
103,1277
103,1322
103,1429
103,1439
103,1466
103,1509
103,1522
103,1546
103,1575
103,1585
103,1662
103,1668
103,1669
103,1750
103,1767
103,1791
103,1832
103,1838
103,1853
103,1873
103,1877
103,1918
103,1962
103,1973
103,1986
103,1997
103,2005
104,120
104,332
104,411
104,422
104,462
104,464
104,478
104,538
104,666
104,703
104,998
104,1051
104,1276
104,1322
104,1409
104,1509
104,1575
104,1585
104,1628
104,1791
104,1829
104,1832
104,1877
104,1961
104,1962
104,1986
107,135
107,167
107,195
107,216
107,217
107,271
107,279
107,338
107,343
107,402
107,410
107,456
107,510
107,520
107,584
107,598
107,604
107,649
107,716
107,722
107,736
107,826
107,840
107,851
107,872
107,902
107,938
107,954
107,960
107,963
107,998
107,1063
107,1083
107,1128
107,1193
107,1238
107,1257
107,1268
107,1277
107,1290
107,1294
107,1330
107,1379
107,1408
107,1431
107,1439
107,1452
107,1466
107,1500
107,1521
107,1531
107,1577
107,1579
107,1586
107,1596
107,1607
107,1781
107,1790
107,1844
107,1853
107,1873
107,1893
107,1926
107,1935
107,1941
107,1962
107,1973
107,1994
107,1997
108,119
108,154
108,164
108,176
108,277
108,418
108,464
108,478
108,555
108,557
